country,state,city,latitude,longitude
Australia,New South Wales,Avoca Beach,-33.46818000,151.43390000
Australia,New South Wales,Avondale,-34.51750000,150.75010000
Australia,New South Wales,Balgowlah,-33.79494000,151.25720000
Australia,New South Wales,Balgowlah Heights,-33.80661000,151.26243000
Australia,New South Wales,Balgownie,-34.39505000,150.88051000
Australia,New South Wales,Ballina,-28.85273000,153.48568000
Australia,New South Wales,Balmain,-33.85481000,151.18330000
Australia,New South Wales,Balmain East,-33.85710000,151.19282000
Australia,New South Wales,Balranald,-34.67839000,143.56384000
Australia,New South Wales,Bangalow,-28.68634000,153.52153000
Australia,New South Wales,Bangor,-34.01667000,151.03333000
Australia,New South Wales,Banksia,-33.94601000,151.14304000
Australia,New South Wales,Banksmeadow,-33.95603010,151.19736200
Australia,New South Wales,Bankstown,-33.91667000,151.03333000
Australia,New South Wales,Banora Point,-28.21298000,153.53634000
Australia,New South Wales,Bar Beach,-32.94128000,151.76544000
Australia,New South Wales,Barden Ridge,-34.03413000,151.01194000
Australia,New South Wales,Bardia,-33.97789000,150.86306000
Australia,New South Wales,Bardwell Park,-33.93534000,151.12571000
Australia,New South Wales,Bardwell Valley,-33.93344000,151.13668000
Australia,New South Wales,Bargo,-34.29301000,150.57806000
Australia,New South Wales,Barham,-35.62647000,144.12895000
Australia,New South Wales,Barnsley,-32.93333000,151.58333000
Australia,New South Wales,Barooga,-35.90602000,145.69585000
Australia,New South Wales,Barraba,-30.38547000,150.60901000
Australia,New South Wales,Barrack Heights,-34.56464000,150.85692000
Australia,New South Wales,Basin View,-35.08833000,150.55534000
Australia,New South Wales,Bass Hill,-33.89863000,150.99541000
Australia,New South Wales,Bateau Bay,-33.38334000,151.46671000
Australia,New South Wales,Batehaven,-35.73757000,150.19836000
Australia,New South Wales,Batemans Bay,-35.70658000,150.17541000
Australia,New South Wales,Bathurst,-33.41665000,149.58060000
Australia,New South Wales,Bathurst city centre,-33.41816000,149.57621000
Australia,New South Wales,Bathurst Regional,-33.47310000,149.51956000
Australia,New South Wales,Batlow,-35.51987000,148.14727000
Australia,New South Wales,Baulkham Hills,-33.75881000,150.99292000
Australia,New South Wales,Bay View,-33.65982000,151.29878000
Australia,New South Wales,Beacon Hill,-33.75280000,151.25857000
Australia,New South Wales,Beaumont Hills,-33.69993000,150.94110000
Australia,New South Wales,Beecroft,-33.74954000,151.06480000
Australia,New South Wales,Bega,-36.67392000,149.84178000
Australia,New South Wales,Bega Valley,-36.81646000,149.72060000
Australia,New South Wales,Belfield,-33.90354000,151.08467000
Australia,New South Wales,Bella Vista,-33.74127000,150.95456000
Australia,New South Wales,Bellambi,-34.36667000,150.91667000
Australia,New South Wales,Bellbird,-32.85992000,151.31873000
Australia,New South Wales,Bellevue Hill,-33.87899000,151.25101000
Australia,New South Wales,Bellingen,-30.37394000,152.72492000
Australia,New South Wales,Belmont,-33.02740000,151.66010000
Australia,New South Wales,Belmont North,-33.02081000,151.66849000
Australia,New South Wales,Belmont South,-33.04934000,151.65695000
Australia,New South Wales,Belmore,-33.91901000,151.08935000
Australia,New South Wales,Belrose,-33.73954000,151.21033000
Australia,New South Wales,Bensville,-33.49757000,151.38084000
Australia,New South Wales,Berala,-33.87197000,151.03386000
Australia,New South Wales,Beresfield,-32.80000000,151.65000000
Australia,New South Wales,Berkeley,-34.48333000,150.85000000
Australia,New South Wales,Berkeley Vale,-33.35000000,151.43333000
Australia,New South Wales,Berkshire Park,-33.67283000,150.77523000
Australia,New South Wales,Bermagui,-36.41900000,150.06355000
Australia,New South Wales,Berowra,-33.62078000,151.15091000
Australia,New South Wales,Berowra Heights,-33.61211000,151.13754000
Australia,New South Wales,Berridale,-36.36673000,148.82772000
Australia,New South Wales,Berrigan,-35.75192000,145.66984000
Australia,New South Wales,Berry,-34.77507000,150.69436000
Australia,New South Wales,Beverley Park,-33.97707000,151.13437000
Australia,New South Wales,Beverly Hills,-33.94799000,151.07979000
Australia,New South Wales,Bexley,-33.95000000,151.11667000
Australia,New South Wales,Bexley North,-33.93848000,151.11385000
Australia,New South Wales,Bidwill,-33.73013000,150.82219000
Australia,New South Wales,Bilambil Heights,-28.21610000,153.48415000
Australia,New South Wales,Bilgola Plateau,-33.64781000,151.31212000
Australia,New South Wales,Bingara,-29.86931000,150.57204000
Australia,New South Wales,Birchgrove,-33.85164000,151.18243000
Australia,New South Wales,Birmingham Gardens,-32.89368000,151.69009000
Australia,New South Wales,Birrong,-33.89255000,151.02075000
